run,method,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
all_scope,shortcut_aug_bce,0.5228058604950425,0.07835979959552364,0.6571428571428571,0.12307474269828653,0.5686634884712106,0.03515391655700853,0.6141647963780487,0.07178098626550107,0.5821988758383807,0.05939134537433803,0.8944531658817374,0.009490903526762216
reentrancy_only,shortcut_aug_bce,0.54509885559575,0.07783479471840636,0.6785714285714286,0.22267792702392725,0.5903492032365046,0.121410425794419,0.6360478423155628,0.17411525332075348,0.5738809952050603,0.08069471353385349,0.94412284144427,0.02142507597956586
reentrancy_only,shortcut_aug_contrastive,0.5465838509316769,0.0248447204968944,0.625,0.125,0.5743589743589743,0.04102564102564099,0.601237842617153,0.08841732979664019,0.5594452592541285,0.04291689741680005,0.9253090659340659,0.011160714285714302
