scope,method,variant,seed,top1_hit,top3_hit,top5_hit,mrr,recall_at_1,recall_at_3,recall_at_5,notes
all_scope,Function-MLP,clean_phase0d,42,0.5333333333333333,0.8666666666666667,0.9666666666666667,0.7155555555555556,0.4277777777777778,0.8277777777777777,0.9388888888888888,clean_split_baseline
all_scope,Function-MLP,clean_phase0d,43,0.5333333333333333,0.9,0.9666666666666667,0.718030303030303,0.4277777777777778,0.861111111111111,0.9388888888888888,clean_split_baseline
all_scope,Function-MLP,clean_phase0d,44,0.5333333333333333,0.9,0.9666666666666667,0.7183333333333334,0.4277777777777778,0.861111111111111,0.9388888888888888,clean_split_baseline
all_scope,Function-MLP,clean_phase0d,45,0.5333333333333333,0.9,0.9666666666666667,0.7187037037037035,0.4277777777777778,0.861111111111111,0.9388888888888888,clean_split_baseline
all_scope,Function-MLP,clean_phase0d,46,0.5666666666666667,0.9,0.9666666666666667,0.735,0.46111111111111114,0.861111111111111,0.9388888888888888,clean_split_baseline
all_scope,Function+Features MLP,clean_phase0d,42,0.5333333333333333,0.8333333333333334,0.9666666666666667,0.6964814814814815,0.4277777777777778,0.8111111111111111,0.9388888888888888,clean_split_baseline
all_scope,Function+Features MLP,clean_phase0d,43,0.5,0.8333333333333334,0.9666666666666667,0.6853703703703703,0.3944444444444445,0.8111111111111111,0.9388888888888888,clean_split_baseline
all_scope,Function+Features MLP,clean_phase0d,44,0.5,0.8333333333333334,0.9666666666666667,0.6853703703703703,0.3944444444444445,0.8111111111111111,0.9388888888888888,clean_split_baseline
all_scope,Function+Features MLP,clean_phase0d,45,0.5333333333333333,0.8333333333333334,0.9666666666666667,0.6964814814814815,0.4277777777777778,0.8111111111111111,0.9388888888888888,clean_split_baseline
all_scope,Function+Features MLP,clean_phase0d,46,0.4666666666666667,0.8333333333333334,0.9666666666666667,0.667037037037037,0.3611111111111111,0.8111111111111111,0.9388888888888888,clean_split_baseline
all_scope,Sequence-BiGRU,clean_phase0d,42,0.5,0.7333333333333333,0.8666666666666667,0.6516810966810966,0.4222222222222222,0.7055555555555555,0.8555555555555555,clean_split_baseline
all_scope,Sequence-BiGRU,clean_phase0d,43,0.5333333333333333,0.8,0.9,0.6866666666666668,0.4388888888888889,0.7777777777777779,0.8888888888888888,clean_split_baseline
all_scope,Sequence-BiGRU,clean_phase0d,44,0.5666666666666667,0.8,0.8666666666666667,0.7092981092981092,0.4722222222222222,0.7555555555555554,0.8388888888888888,clean_split_baseline
