run,model,pooling,contract_precision_mean,contract_precision_std,contract_recall_mean,contract_recall_std,contract_f1_mean,contract_f1_std,contract_f2_mean,contract_f2_std,contract_pr_auc_mean,contract_pr_auc_std,contract_roc_auc_mean,contract_roc_auc_std,top1_hit_mean,top1_hit_std,top3_hit_mean,top3_hit_std,top5_hit_mean,top5_hit_std,mrr_mean,mrr_std,recall_at_1_mean,recall_at_1_std,recall_at_3_mean,recall_at_3_std,recall_at_5_mean,recall_at_5_std
all_scope,Current wrapped interaction HyperVul,wrapped_max,0.24878986063088931,0.018660340606186935,0.6199999999999999,0.10456258094238745,0.3539697538326893,0.034642768529290824,0.4757700534076439,0.06141280351124938,0.314088540497114,0.0173067946364001,0.7206593406593408,0.008818562450938872,0.49333333333333335,0.04898979485566355,0.7933333333333333,0.02494438257849294,0.9400000000000001,0.01333333333333333,0.6737751322751322,0.022490492378280318,0.3811111111111111,0.043969686527576414,0.7844444444444445,0.018053418676968788,0.9244444444444445,0.010886621079036363
all_scope,HyperVul native MIL,mil_attention,0.25030954799352434,0.014302610707945156,0.48,0.08055363982396382,0.3261205268460619,0.023573550595376094,0.4023972763531676,0.049163489397442084,0.2741784058315623,0.021518773721242408,0.7066666666666668,0.006887615830957466,0.49333333333333335,0.024944382578492935,0.78,0.016329931618554516,0.9133333333333333,0.01632993161855452,0.671657768157768,0.011485835443260492,0.3833333333333333,0.018592445034090584,0.7266666666666666,0.01507184440694504,0.8855555555555554,0.01632993161855452
all_scope,HyperVul native MIL,mil_max,0.2401731074829919,0.02087594645194112,0.6199999999999999,0.04521553322083511,0.34569961073845645,0.025161451128948076,0.4701632459318141,0.030598257746688735,0.3342950426060671,0.027574144469161628,0.7282051282051283,0.010261641784552755,0.4600000000000001,0.04898979485566354,0.8133333333333335,0.016329931618554516,0.9066666666666666,0.01333333333333333,0.6572712842712842,0.028315488034054648,0.3611111111111111,0.043461349368017675,0.7644444444444444,0.021256807188565558,0.8788888888888888,0.01333333333333333
all_scope,HyperVul native MIL,mil_topk,0.24574267560448887,0.020593586647204565,0.6,0.05163977794943221,0.3466100224720915,0.012642536502424922,0.46273272786671643,0.016640488404422386,0.2821867604026436,0.025996165001246855,0.7072893772893772,0.00917171059994081,0.45999999999999996,0.02494438257849294,0.7866666666666667,0.026666666666666707,0.9,0.0,0.655046176046176,0.018688435503464308,0.3488888888888889,0.019999999999999997,0.7488888888888889,0.022607766610417544,0.8755555555555554,0.006666666666666687
reentrancy_only,HyperVul native MIL,mil_attention,0.36001131221719457,0.08320095373197522,0.3125,0.03952847075210474,0.3264150121908742,0.029433053488827833,0.31658850408850414,0.03111499454976136,0.2612124803316025,0.05118018099057819,0.7076236263736264,0.007787383397284838,0.525,0.030618621784789725,0.85,0.03061862178478973,0.9375,0.0,0.7114583333333334,0.018221724671391555,0.4541666666666666,0.02429563289518875,0.8020833333333333,0.037845629426218635,0.9166666666666666,0.0
reentrancy_only,HyperVul native MIL,mil_max,0.16026190476190477,0.02830875284304034,0.425,0.046770717334674264,0.2305926076343499,0.031363966978124574,0.3158268197883632,0.03241039072928637,0.33438368033225074,0.027184798331765504,0.7016483516483516,0.005598264800086515,0.5125,0.06123724356957945,0.875,0.0,0.9375,0.0,0.715625,0.030618621784789725,0.45625,0.054486236794258416,0.8229166666666666,0.025515518153991456,0.9166666666666666,0.0
reentrancy_only,HyperVul native MIL,mil_topk,0.13333333333333333,0.26666666666666666,0.05,0.10000000000000002,0.07272727272727272,0.14545454545454545,0.05714285714285714,0.11428571428571428,0.30243133240692205,0.029089949890640353,0.7032967032967034,0.003717683682067153,0.5,0.0,0.8625,0.024999999999999998,0.9375,0.0,0.70625,0.0062499999999999995,0.4375,0.0,0.8145833333333332,0.03186887195995491,0.9166666666666666,0.0
