run,strategy,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
all_scope,baseline,mil_topk,42,contract,max_f1,max_f1,0.6980000000000001,0.2375,0.6333333333333333,0.22727272727272727,0.5,0.3125,0.4032258064516128,0.2938977864843636,0.7021978021978021,15,131,51,15,212,30,182,0.20652173913043478,0.21818181818181817,0.17261904761904762,0.639,0.5670000000000001,0.255,0.7333333333333333,0.8,0.9
all_scope,baseline,mil_topk,42,contract,high_recall,target_recall,0.255,0.13705583756345177,0.9,0.17261904761904762,0.9666666666666667,0.29292929292929293,0.5034722222222223,0.2938977864843636,0.7021978021978021,29,43,139,1,212,30,182,0.20652173913043478,0.21818181818181817,0.17261904761904762,0.639,0.5670000000000001,0.255,0.7333333333333333,0.8,0.9
all_scope,baseline,mil_topk,42,contract,precision_focused,target_precision,0.926,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.2938977864843636,0.7021978021978021,0,182,0,30,212,30,182,0.20652173913043478,0.21818181818181817,0.17261904761904762,0.639,0.5670000000000001,0.255,0.7333333333333333,0.8,0.9
all_scope,hard_negative_upweight,mil_topk,42,contract,max_f1,max_f1,0.531,0.22988505747126436,0.6666666666666666,0.25,0.7333333333333333,0.3728813559322034,0.5288461538461539,0.26896306134019143,0.7036630036630036,22,116,66,8,212,30,182,0.22330097087378642,0.1891891891891892,0.1657142857142857,0.511,0.41500000000000004,0.213,0.7333333333333333,0.8333333333333334,0.9
all_scope,hard_negative_upweight,mil_topk,42,contract,high_recall,target_recall,0.213,0.135,0.9,0.1657142857142857,0.9666666666666667,0.2829268292682927,0.49152542372881347,0.26896306134019143,0.7036630036630036,29,36,146,1,212,30,182,0.22330097087378642,0.1891891891891892,0.1657142857142857,0.511,0.41500000000000004,0.213,0.7333333333333333,0.8333333333333334,0.9
all_scope,hard_negative_upweight,mil_topk,42,contract,precision_focused,target_precision,0.769,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.26896306134019143,0.7036630036630036,0,181,1,30,212,30,182,0.22330097087378642,0.1891891891891892,0.1657142857142857,0.511,0.41500000000000004,0.213,0.7333333333333333,0.8333333333333334,0.9
all_scope,hard_negative_oversample,mil_topk,42,contract,max_f1,max_f1,0.616,0.2222222222222222,0.7333333333333333,0.23809523809523808,0.6666666666666666,0.3508771929824562,0.49019607843137253,0.2574632527219927,0.7115384615384617,20,118,64,10,212,30,182,0.23809523809523808,0.22807017543859648,0.17341040462427745,0.616,0.528,0.313,0.7333333333333333,0.8,0.9
all_scope,hard_negative_oversample,mil_topk,42,contract,high_recall,target_recall,0.313,0.1377551020408163,0.9,0.17341040462427745,1.0,0.29556650246305416,0.5119453924914675,0.2574632527219927,0.7115384615384617,30,39,143,0,212,30,182,0.23809523809523808,0.22807017543859648,0.17341040462427745,0.616,0.528,0.313,0.7333333333333333,0.8,0.9
all_scope,hard_negative_oversample,mil_topk,42,contract,precision_focused,target_precision,0.616,0.2222222222222222,0.7333333333333333,0.23809523809523808,0.6666666666666666,0.3508771929824562,0.49019607843137253,0.2574632527219927,0.7115384615384617,20,118,64,10,212,30,182,0.23809523809523808,0.22807017543859648,0.17341040462427745,0.616,0.528,0.313,0.7333333333333333,0.8,0.9
all_scope,baseline,mil_topk,43,contract,max_f1,max_f1,0.808,0.2235294117647059,0.6333333333333333,0.2087912087912088,0.6333333333333333,0.3140495867768595,0.4502369668246445,0.24458870230893837,0.6945054945054945,19,110,72,11,212,30,182,0.21782178217821782,0.20300751879699247,0.1676300578034682,0.763,0.649,0.268,0.7,0.8,0.9
