run,variant,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
reentrancy_only,gated,mil_attention,42,contract,max_f1,max_f1,0.156,0.1,0.9285714285714286,0.13095238095238096,0.6875,0.22,0.37162162162162166,0.30779015562260037,0.6878434065934066,11,109,73,5,198,16,182,0.13095238095238096,0.13095238095238096,0.13095238095238096,0.156,0.156,0.156,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,gated,mil_attention,42,contract,high_recall,target_recall,0.156,0.1,0.9285714285714286,0.13095238095238096,0.6875,0.22,0.37162162162162166,0.30779015562260037,0.6878434065934066,11,109,73,5,198,16,182,0.13095238095238096,0.13095238095238096,0.13095238095238096,0.156,0.156,0.156,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,gated,mil_attention,42,contract,precision_focused,target_precision,0.156,0.1,0.9285714285714286,0.13095238095238096,0.6875,0.22,0.37162162162162166,0.30779015562260037,0.6878434065934066,11,109,73,5,198,16,182,0.13095238095238096,0.13095238095238096,0.13095238095238096,0.156,0.156,0.156,0.9285714285714286,0.9285714285714286,0.9285714285714286
reentrancy_only,gated,mil_attention,43,contract,max_f1,max_f1,0.921,0.375,0.21428571428571427,0.2,0.1875,0.19354838709677422,0.18987341772151897,0.19303055222025634,0.694368131868132,3,170,12,13,198,16,182,0.14492753623188406,0.13333333333333333,0.12745098039215685,0.661,0.539,0.465,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,gated,mil_attention,43,contract,high_recall,target_recall,0.465,0.09420289855072464,0.9285714285714286,0.12745098039215685,0.8125,0.22033898305084745,0.39156626506024095,0.19303055222025634,0.694368131868132,13,93,89,3,198,16,182,0.14492753623188406,0.13333333333333333,0.12745098039215685,0.661,0.539,0.465,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,gated,mil_attention,43,contract,precision_focused,target_precision,0.9410000000000001,1.0,0.07142857142857142,0.3333333333333333,0.125,0.18181818181818182,0.14285714285714285,0.19303055222025634,0.694368131868132,2,178,4,14,198,16,182,0.14492753623188406,0.13333333333333333,0.12745098039215685,0.661,0.539,0.465,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,gated,mil_attention,44,contract,max_f1,max_f1,0.844,0.375,0.21428571428571427,0.4,0.25,0.3076923076923077,0.27027027027027023,0.2519135074708873,0.6741071428571429,4,176,6,12,198,16,182,0.16666666666666666,0.12790697674418605,0.1134020618556701,0.496,0.34900000000000003,0.308,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,gated,mil_attention,44,contract,high_recall,target_recall,0.308,0.0948905109489051,0.9285714285714286,0.1134020618556701,0.6875,0.19469026548672566,0.34161490683229817,0.2519135074708873,0.6741071428571429,11,96,86,5,198,16,182,0.16666666666666666,0.12790697674418605,0.1134020618556701,0.496,0.34900000000000003,0.308,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,gated,mil_attention,44,contract,precision_focused,target_precision,0.561,0.1267605633802817,0.6428571428571429,0.1590909090909091,0.4375,0.23333333333333334,0.3240740740740741,0.2519135074708873,0.6741071428571429,7,145,37,9,198,16,182,0.16666666666666666,0.12790697674418605,0.1134020618556701,0.496,0.34900000000000003,0.308,0.7142857142857143,0.8571428571428571,0.9285714285714286
reentrancy_only,gated,mil_attention,45,contract,max_f1,max_f1,0.606,0.11538461538461539,0.42857142857142855,0.18181818181818182,0.5,0.26666666666666666,0.3703703703703704,0.2548952548169241,0.6751373626373627,8,146,36,8,198,16,182,0.11009174311926606,0.11009174311926606,0.11009174311926606,0.244,0.244,0.244,1.0,1.0,1.0
