run,method,variant,n_seeds,threshold_policy,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
all_scope,shortcut_aug_bce,gated,5,max_f1,0.5479409300377042,0.07987746394534755,0.6533333333333333,0.14391355429948602,0.5785603145490944,0.03683687258489905,0.6153122684726341,0.08383646215155739,0.6136307810482242,0.03646011406419922,0.8986813186813187,0.007967685544407624
all_scope,shortcut_aug_bce,rule_suppression,2,max_f1,0.4599681866383881,0.003446447507953365,0.6666666666666666,0.033333333333333326,0.5439214232765011,0.008710155670867248,0.611296116141585,0.021234004340342727,0.5036191128137718,0.01943247423946451,0.8838827838827839,0.000366300366300365
reentrancy_only,shortcut_aug_bce,gated,5,max_f1,0.5624057971014493,0.04401538750623572,0.725,0.1920286436967152,0.6169828267491868,0.0731197889259316,0.6725907378361347,0.13566886009665877,0.6159117046465848,0.03429631452034268,0.9515109890109891,0.014735944654050525
reentrancy_only,shortcut_aug_bce,rule_suppression,2,max_f1,0.5018315018315018,0.11721611721611722,0.5625,0.25,0.5237651444547996,0.17893755824790303,0.544690603514133,0.22001527883880828,0.4688042216012486,0.06627636160434841,0.9256524725274724,0.02421016483516486
reentrancy_only,shortcut_aug_contrastive,contrastive,2,max_f1,0.5465838509316769,0.0248447204968944,0.625,0.125,0.5743589743589743,0.04102564102564099,0.601237842617153,0.08841732979664019,0.5594452592541285,0.04291689741680005,0.9253090659340659,0.011160714285714302
all_scope,shortcut_aug_bce,gated,5,test_oracle_max_f1,0.5659487571252277,0.09632139625365037,0.7066666666666667,0.11035296904831235,0.6127571718342509,0.029292905389736834,0.6604011501271776,0.05295499452420797,0.6136307810482242,0.03646011406419922,0.8986813186813187,0.007967685544407624
all_scope,shortcut_aug_bce,rule_suppression,2,test_oracle_max_f1,0.528160200250313,0.06007509386733417,0.7,0.033333333333333326,0.5982142857142857,0.0267857142857143,0.6540166420405942,0.004665992689944665,0.5036191128137718,0.01943247423946451,0.8838827838827839,0.000366300366300365
reentrancy_only,shortcut_aug_bce,gated,5,test_oracle_max_f1,0.5947826086956522,0.06503743287413966,0.8375,0.05,0.693084693084693,0.04980811348057517,0.7720425501534947,0.04218506452896952,0.6159117046465848,0.03429631452034268,0.9515109890109891,0.014735944654050525
reentrancy_only,shortcut_aug_bce,rule_suppression,2,test_oracle_max_f1,0.6027777777777779,0.04722222222222222,0.71875,0.09375,0.6552287581699348,0.06699346405228762,0.6917828106852497,0.08202671312427412,0.4688042216012486,0.06627636160434841,0.9256524725274724,0.02421016483516486
reentrancy_only,shortcut_aug_contrastive,contrastive,2,test_oracle_max_f1,0.5565476190476191,0.014880952380952384,0.65625,0.15625,0.5916666666666667,0.05833333333333335,0.6257284382284382,0.11290792540792538,0.5594452592541285,0.04291689741680005,0.9253090659340659,0.011160714285714302
