run,method,variant,pooling,seed,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support
reentrancy_only,phase1b_baseline,gated,mil_attention,42,max_f1,max_f1,0.778,0.6,0.21428571428571427,0.4444444444444444,0.25,0.32,0.27397260273972607,0.2642770426579093,0.6981456043956044,4,177,5,12,198,16,182
reentrancy_only,phase1b_baseline,gated,mil_attention,43,max_f1,max_f1,0.882,0.3333333333333333,0.21428571428571427,0.3076923076923077,0.25,0.27586206896551724,0.2597402597402597,0.24088426740980792,0.6916208791208791,4,173,9,12,198,16,182
reentrancy_only,phase1b_baseline,gated,mil_attention,44,max_f1,max_f1,0.777,0.36363636363636365,0.2857142857142857,0.36363636363636365,0.25,0.2962962962962963,0.26666666666666666,0.25736663638334295,0.680631868131868,4,175,7,12,198,16,182
reentrancy_only,phase1b_baseline,gated,mil_attention,45,max_f1,max_f1,0.833,0.5,0.21428571428571427,0.375,0.1875,0.25,0.20833333333333334,0.2104372570599786,0.7032967032967032,3,177,5,13,198,16,182
reentrancy_only,phase1b_baseline,gated,mil_attention,46,max_f1,max_f1,0.876,0.5,0.21428571428571427,0.5,0.25,0.3333333333333333,0.2777777777777778,0.2579389026028879,0.6655219780219781,4,178,4,12,198,16,182
reentrancy_only,accepted_label_only,gated,mil_attention,42,max_f1,max_f1,0.842,0.42857142857142855,0.21428571428571427,0.3333333333333333,0.25,0.28571428571428575,0.2631578947368421,0.26190625367035847,0.7046703296703296,4,174,8,12,198,16,182
reentrancy_only,accepted_label_only,gated,mil_attention,42,high_recall,target_recall,0.34800000000000003,0.1044776119402985,1.0,0.13541666666666666,0.8125,0.23214285714285712,0.40625,0.26190625367035847,0.7046703296703296,13,99,83,3,198,16,182
reentrancy_only,accepted_label_only,gated,mil_attention,42,precision_focused,target_precision,0.34800000000000003,0.1044776119402985,1.0,0.13541666666666666,0.8125,0.23214285714285712,0.40625,0.26190625367035847,0.7046703296703296,13,99,83,3,198,16,182
reentrancy_only,contrastive,gated,mil_attention,42,max_f1,max_f1,0.864,0.5,0.21428571428571427,0.4444444444444444,0.25,0.32,0.27397260273972607,0.28082066929854543,0.6916208791208791,4,177,5,12,198,16,182
reentrancy_only,contrastive,gated,mil_attention,42,high_recall,target_recall,0.439,0.0945945945945946,1.0,0.10909090909090909,0.75,0.19047619047619047,0.3448275862068966,0.28082066929854543,0.6916208791208791,12,84,98,4,198,16,182
reentrancy_only,contrastive,gated,mil_attention,42,precision_focused,target_precision,0.898,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.28082066929854543,0.6916208791208791,0,182,0,16,198,16,182
