run,strategy,pooling,seed,top1_hit,top3_hit,top5_hit,mrr,recall_at_1,recall_at_3,recall_at_5,positive_contracts
all_scope,baseline,mil_topk,42,0.43333333333333335,0.7666666666666667,0.9,0.6386002886002886,0.34444444444444444,0.7055555555555555,0.8722222222222221,30
all_scope,hard_negative_upweight,mil_topk,42,0.5,0.8,0.9333333333333333,0.6808080808080808,0.3888888888888889,0.7388888888888888,0.9055555555555554,30
all_scope,hard_negative_oversample,mil_topk,42,0.43333333333333335,0.8666666666666667,0.9333333333333333,0.669206349206349,0.34444444444444444,0.8055555555555555,0.9055555555555554,30
all_scope,baseline,mil_topk,43,0.5,0.7333333333333333,0.9333333333333333,0.6583333333333333,0.3888888888888889,0.6888888888888888,0.9055555555555554,30
all_scope,hard_negative_upweight,mil_topk,43,0.4,0.8666666666666667,0.9333333333333333,0.6411255411255411,0.34444444444444444,0.7888888888888889,0.9222222222222222,30
all_scope,hard_negative_oversample,mil_topk,43,0.5,0.8333333333333334,0.9666666666666667,0.6866666666666666,0.3888888888888889,0.7722222222222221,0.95,30
all_scope,baseline,mil_topk,44,0.4666666666666667,0.8,0.9333333333333333,0.655530303030303,0.3555555555555555,0.7222222222222221,0.9222222222222222,30
all_scope,hard_negative_upweight,mil_topk,44,0.5666666666666667,0.8333333333333334,0.9333333333333333,0.7113636363636362,0.4388888888888889,0.7555555555555554,0.9222222222222222,30
all_scope,hard_negative_oversample,mil_topk,44,0.5,0.8,0.9333333333333333,0.6683080808080807,0.3944444444444445,0.7777777777777779,0.9222222222222222,30
all_scope,baseline,mil_topk,45,0.4666666666666667,0.8,0.9,0.6544191919191918,0.3555555555555555,0.7388888888888888,0.8888888888888888,30
all_scope,hard_negative_upweight,mil_topk,45,0.5,0.8,0.9333333333333333,0.6919191919191919,0.3888888888888889,0.7222222222222221,0.9055555555555554,30
all_scope,hard_negative_oversample,mil_topk,45,0.4,0.6666666666666666,0.9333333333333333,0.5903174603174602,0.3277777777777778,0.5944444444444444,0.8722222222222221,30
all_scope,baseline,mil_topk,46,0.43333333333333335,0.7666666666666667,0.9333333333333333,0.6377525252525252,0.34444444444444444,0.6888888888888888,0.8888888888888888,30
all_scope,hard_negative_upweight,mil_topk,46,0.3333333333333333,0.8333333333333334,0.9333333333333333,0.6039562289562289,0.2777777777777778,0.7555555555555554,0.9055555555555554,30
all_scope,hard_negative_oversample,mil_topk,46,0.43333333333333335,0.8666666666666667,0.9333333333333333,0.6585858585858585,0.3555555555555555,0.8388888888888888,0.9055555555555554,30
reentrancy_only,baseline,mil_attention,42,0.5625,0.875,0.9375,0.7296401515151515,0.5,0.8541666666666666,0.9166666666666666,16
reentrancy_only,hard_negative_upweight,mil_attention,42,0.5625,0.875,0.9375,0.7192234848484849,0.4583333333333333,0.8541666666666666,0.9166666666666666,16
reentrancy_only,hard_negative_oversample,mil_attention,42,0.625,0.9375,0.9375,0.7666666666666666,0.5625,0.8958333333333333,0.9166666666666666,16
reentrancy_only,baseline,mil_attention,43,0.5625,0.875,0.9375,0.7296401515151515,0.5,0.8229166666666666,0.9166666666666666,16
reentrancy_only,hard_negative_upweight,mil_attention,43,0.625,0.9375,0.9375,0.7765151515151515,0.5208333333333333,0.9166666666666666,0.9166666666666666,16
reentrancy_only,hard_negative_oversample,mil_attention,43,0.625,0.9375,0.9375,0.7666666666666666,0.5208333333333333,0.9166666666666666,0.9166666666666666,16
reentrancy_only,baseline,mil_attention,44,0.5625,0.875,0.9375,0.7302083333333333,0.5,0.8541666666666666,0.9166666666666666,16
reentrancy_only,hard_negative_upweight,mil_attention,44,0.625,0.9375,0.9375,0.7770833333333333,0.5208333333333333,0.9166666666666666,0.9166666666666666,16
reentrancy_only,hard_negative_oversample,mil_attention,44,0.625,0.9375,0.9375,0.7660984848484849,0.5625,0.8854166666666666,0.9166666666666666,16
reentrancy_only,baseline,mil_attention,45,0.6875,0.9375,0.9375,0.7973484848484849,0.5833333333333333,0.9166666666666666,0.9166666666666666,16
reentrancy_only,hard_negative_upweight,mil_attention,45,0.5625,0.8125,0.9375,0.725,0.4583333333333333,0.7916666666666666,0.9375,16
reentrancy_only,hard_negative_oversample,mil_attention,45,0.5625,0.9375,0.9375,0.7348484848484849,0.5,0.9166666666666666,0.9166666666666666,16
reentrancy_only,baseline,mil_attention,46,0.5625,0.875,0.9375,0.7302083333333333,0.5,0.8229166666666666,0.9166666666666666,16
reentrancy_only,hard_negative_upweight,mil_attention,46,0.5625,0.9375,0.9375,0.7348484848484849,0.5,0.9166666666666666,0.9166666666666666,16
reentrancy_only,hard_negative_oversample,mil_attention,46,0.375,0.8125,0.9375,0.6104166666666666,0.34375,0.7708333333333333,0.9166666666666666,16
