run,variant,pooling,seed,top1_hit,top3_hit,top5_hit,mrr,recall_at_1,recall_at_3,recall_at_5,positive_contracts
all_scope,concat,mil_topk,42,0.5333333333333333,0.9,0.9666666666666667,0.7163636363636363,0.4388888888888889,0.8111111111111111,0.9555555555555555,30
all_scope,concat,mil_topk,43,0.5333333333333333,0.8333333333333334,0.9333333333333333,0.6985858585858584,0.40555555555555556,0.7888888888888889,0.9055555555555554,30
all_scope,concat,mil_topk,44,0.5333333333333333,0.8,0.9,0.691125541125541,0.40555555555555556,0.7388888888888888,0.8722222222222221,30
all_scope,concat,mil_topk,45,0.5333333333333333,0.8,0.9,0.6988636363636364,0.40555555555555556,0.7277777777777777,0.8722222222222221,30
all_scope,concat,mil_topk,46,0.5333333333333333,0.9,0.9666666666666667,0.7235858585858586,0.40555555555555556,0.8444444444444444,0.9388888888888888,30
all_scope,subtractive,mil_topk,42,0.4666666666666667,0.7666666666666667,0.9,0.6558080808080807,0.3611111111111111,0.7222222222222221,0.8722222222222221,30
all_scope,subtractive,mil_topk,43,0.4666666666666667,0.8,0.9,0.6653318903318902,0.3611111111111111,0.7444444444444444,0.8722222222222221,30
all_scope,subtractive,mil_topk,44,0.5333333333333333,0.7666666666666667,0.9,0.6893939393939393,0.4277777777777778,0.7222222222222221,0.8722222222222221,30
all_scope,subtractive,mil_topk,45,0.5,0.7666666666666667,0.9,0.6744588744588744,0.3944444444444445,0.7222222222222221,0.8722222222222221,30
all_scope,subtractive,mil_topk,46,0.5,0.8,0.9333333333333333,0.6863636363636363,0.3944444444444445,0.7555555555555554,0.8888888888888888,30
all_scope,gated,mil_topk,42,0.5,0.8333333333333334,0.9333333333333333,0.6874747474747475,0.4277777777777778,0.7722222222222221,0.9055555555555554,30
all_scope,gated,mil_topk,43,0.5666666666666667,0.8,0.9,0.7105699855699855,0.46111111111111114,0.7555555555555554,0.8722222222222221,30
all_scope,gated,mil_topk,44,0.4666666666666667,0.8,0.9,0.6583477633477633,0.3777777777777778,0.7555555555555554,0.8722222222222221,30
all_scope,gated,mil_topk,45,0.43333333333333335,0.8333333333333334,0.9,0.6516414141414141,0.3277777777777778,0.7777777777777778,0.8722222222222221,30
all_scope,gated,mil_topk,46,0.4666666666666667,0.8333333333333334,0.9666666666666667,0.6752525252525252,0.3777777777777778,0.7777777777777778,0.9388888888888888,30
all_scope,rule_suppression,mil_topk,42,0.3333333333333333,0.8,0.9666666666666667,0.5669191919191918,0.24444444444444444,0.711111111111111,0.8944444444444445,30
all_scope,rule_suppression,mil_topk,43,0.36666666666666664,0.8666666666666667,0.9666666666666667,0.6172222222222222,0.2777777777777778,0.7944444444444444,0.9055555555555554,30
