run,variant,pooling,seed,top1_hit,top3_hit,top5_hit,mrr,recall_at_1,recall_at_3,recall_at_5,positive_contracts
all_scope,gated,mil_topk,42,0.5,0.8,0.9,0.6772366522366522,0.3944444444444445,0.7444444444444444,0.8722222222222221,30
all_scope,gated,mil_topk,43,0.5666666666666667,0.7666666666666667,0.9,0.7077922077922078,0.4388888888888889,0.7222222222222221,0.8722222222222221,30
all_scope,gated,mil_topk,44,0.6,0.8,0.9,0.7230447330447329,0.4722222222222222,0.7722222222222221,0.8722222222222221,30
all_scope,gated,mil_topk,45,0.5333333333333333,0.7666666666666667,0.9,0.6897366522366523,0.4277777777777778,0.7222222222222221,0.8722222222222221,30
all_scope,gated,mil_topk,46,0.4666666666666667,0.8333333333333334,0.9,0.6683080808080807,0.3611111111111111,0.7888888888888889,0.8722222222222221,30
all_scope,rule_suppression,mil_topk,42,0.5,0.7666666666666667,0.9666666666666667,0.668030303030303,0.3722222222222222,0.6944444444444444,0.9055555555555554,30
all_scope,rule_suppression,mil_topk,43,0.4,0.8666666666666667,0.9666666666666667,0.6391414141414141,0.3111111111111111,0.7777777777777778,0.8944444444444445,30
all_scope,rule_suppression,mil_topk,44,0.36666666666666664,0.9,0.9666666666666667,0.6196969696969695,0.2777777777777778,0.7944444444444444,0.8944444444444445,30
all_scope,rule_suppression,mil_topk,45,0.43333333333333335,0.8333333333333334,0.9666666666666667,0.6474747474747474,0.34444444444444444,0.7611111111111111,0.8944444444444445,30
all_scope,rule_suppression,mil_topk,46,0.3333333333333333,0.8666666666666667,0.9666666666666667,0.5946969696969695,0.24444444444444444,0.7777777777777778,0.8944444444444445,30
all_scope,concat,mil_topk,42,0.5333333333333333,0.8666666666666667,0.9666666666666667,0.7119191919191918,0.4388888888888889,0.8055555555555555,0.9222222222222222,30
all_scope,concat,mil_topk,43,0.5666666666666667,0.8,0.9,0.715530303030303,0.4388888888888889,0.7444444444444444,0.8722222222222221,30
all_scope,concat,mil_topk,44,0.5666666666666667,0.8,0.9,0.7105699855699855,0.4388888888888889,0.7555555555555554,0.8722222222222221,30
all_scope,concat,mil_topk,45,0.5333333333333333,0.8333333333333334,0.9333333333333333,0.7083080808080808,0.40555555555555556,0.7722222222222221,0.9055555555555554,30
all_scope,concat,mil_topk,46,0.5,0.8666666666666667,0.9,0.6920514670514669,0.3722222222222222,0.8222222222222222,0.8722222222222221,30
reentrancy_only,gated,mil_attention,42,0.5625,0.875,0.9375,0.7375,0.5,0.8020833333333333,0.9166666666666666,16
reentrancy_only,gated,mil_attention,43,0.5625,0.875,0.9375,0.740625,0.53125,0.8020833333333333,0.9166666666666666,16
reentrancy_only,gated,mil_attention,44,0.5,0.875,0.9375,0.709375,0.46875,0.8020833333333333,0.9166666666666666,16
reentrancy_only,gated,mil_attention,45,0.5625,0.875,0.9375,0.740625,0.5,0.8229166666666666,0.9166666666666666,16
reentrancy_only,gated,mil_attention,46,0.5625,0.875,0.9375,0.740625,0.5,0.8020833333333333,0.9166666666666666,16
reentrancy_only,rule_suppression,mil_attention,42,0.375,0.875,0.9375,0.6364583333333333,0.3125,0.8020833333333333,0.8958333333333333,16
reentrancy_only,rule_suppression,mil_attention,43,0.25,0.875,0.9375,0.5739583333333333,0.21875,0.8020833333333333,0.8958333333333333,16
reentrancy_only,rule_suppression,mil_attention,44,0.3125,0.9375,0.9375,0.6104166666666666,0.28125,0.8645833333333333,0.8958333333333333,16
reentrancy_only,rule_suppression,mil_attention,45,0.3125,0.9375,0.9375,0.6,0.28125,0.8645833333333333,0.8958333333333333,16
reentrancy_only,rule_suppression,mil_attention,46,0.3125,0.9375,0.9375,0.6104166666666666,0.28125,0.8645833333333333,0.8958333333333333,16
reentrancy_only,concat,mil_attention,42,0.5,0.8125,0.875,0.6901041666666666,0.4375,0.7395833333333333,0.8333333333333333,16
reentrancy_only,concat,mil_attention,43,0.6875,0.875,0.9375,0.8025568181818181,0.5833333333333333,0.8229166666666666,0.9166666666666666,16
reentrancy_only,concat,mil_attention,44,0.625,0.875,0.9375,0.76875,0.5625,0.8020833333333333,0.9166666666666666,16
reentrancy_only,concat,mil_attention,45,0.625,0.875,0.9375,0.771875,0.5208333333333333,0.8020833333333333,0.9166666666666666,16
reentrancy_only,concat,mil_attention,46,0.6875,0.875,0.875,0.7964285714285715,0.5833333333333333,0.8229166666666666,0.8541666666666666,16
