run,strategy,precision_mean,recall_mean,f1_mean,f2_mean,pr_auc_mean,roc_auc_mean,fp_mean,fn_mean,precision_gain_vs_baseline,recall_change_vs_baseline,f1_change_vs_baseline
all_scope,baseline,0.2343084410881021,0.5333333333333333,0.3240428519935258,0.42256829261620926,0.2851062091735228,0.7032600732600732,53.0,14.0,0.0,0.0,0.0
all_scope,hard_negative_upweight,0.23109890109890108,0.7266666666666667,0.3498309008160703,0.5069479908470733,0.26224225258316813,0.7024175824175825,73.0,8.2,-0.00320953998920101,0.19333333333333336,0.02578804882254454
all_scope,hard_negative_oversample,0.22811479423225373,0.6733333333333332,0.3347217222262222,0.47323036244399563,0.24339051374065246,0.6883516483516484,73.0,9.8,-0.0061936468558483615,0.1399999999999999,0.010678870232696425
reentrancy_only,baseline,0.5700000000000001,0.1875,0.24345864661654132,0.20121231785735355,0.32701065729615986,0.6998626373626373,4.0,13.0,0.0,0.0,0.0
reentrancy_only,hard_negative_upweight,0.2,0.0125,0.023529411764705882,0.015384615384615385,0.2201676346275025,0.6914148351648353,0.2,15.8,-0.37000000000000005,-0.175,-0.21992923485183544
reentrancy_only,hard_negative_oversample,0.013333333333333332,0.0125,0.012903225806451615,0.012658227848101264,0.16127255795763698,0.6449175824175823,4.2,15.8,-0.5566666666666668,-0.175,-0.2305554208100897
