run,variant,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
all_scope,gated,mil_topk,42,contract,max_f1,max_f1,0.621,0.3103448275862069,0.6,0.28846153846153844,0.5,0.36585365853658536,0.4360465116279069,0.31250505147097335,0.726923076923077,15,145,37,15,212,30,182,0.2564102564102564,0.19672131147540983,0.1858974358974359,0.535,0.34700000000000003,0.219,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,42,contract,high_recall,target_recall,0.219,0.16167664670658682,0.9,0.1858974358974359,0.9666666666666667,0.3118279569892473,0.5253623188405797,0.31250505147097335,0.726923076923077,29,55,127,1,212,30,182,0.2564102564102564,0.19672131147540983,0.1858974358974359,0.535,0.34700000000000003,0.219,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,42,contract,precision_focused,target_precision,0.854,0.75,0.1,0.0,0.0,0.0,0.0,0.31250505147097335,0.726923076923077,0,180,2,30,212,30,182,0.2564102564102564,0.19672131147540983,0.1858974358974359,0.535,0.34700000000000003,0.219,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,43,contract,max_f1,max_f1,0.591,0.3333333333333333,0.6333333333333333,0.265625,0.5666666666666667,0.36170212765957444,0.46195652173913043,0.28031432721720917,0.7265567765567766,17,135,47,13,212,30,182,0.21649484536082475,0.20155038759689922,0.17791411042944785,0.468,0.338,0.195,0.7333333333333333,0.8,0.9
all_scope,gated,mil_topk,43,contract,high_recall,target_recall,0.195,0.1656441717791411,0.9,0.17791411042944785,0.9666666666666667,0.3005181347150259,0.5123674911660777,0.28031432721720917,0.7265567765567766,29,48,134,1,212,30,182,0.21649484536082475,0.20155038759689922,0.17791411042944785,0.468,0.338,0.195,0.7333333333333333,0.8,0.9
all_scope,gated,mil_topk,43,contract,precision_focused,target_precision,0.913,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.28031432721720917,0.7265567765567766,0,182,0,30,212,30,182,0.21649484536082475,0.20155038759689922,0.17791411042944785,0.468,0.338,0.195,0.7333333333333333,0.8,0.9
all_scope,gated,mil_topk,44,contract,max_f1,max_f1,0.511,0.2558139534883721,0.7333333333333333,0.2127659574468085,0.6666666666666666,0.3225806451612903,0.46728971962616817,0.24805227519673986,0.7001831501831501,20,108,74,10,212,30,182,0.21686746987951808,0.1925925925925926,0.17058823529411765,0.546,0.32,0.159,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,44,contract,high_recall,target_recall,0.159,0.15168539325842698,0.9,0.17058823529411765,0.9666666666666667,0.29000000000000004,0.5000000000000001,0.24805227519673986,0.7001831501831501,29,41,141,1,212,30,182,0.21686746987951808,0.1925925925925926,0.17058823529411765,0.546,0.32,0.159,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,44,contract,precision_focused,target_precision,0.918,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.24805227519673986,0.7001831501831501,0,182,0,30,212,30,182,0.21686746987951808,0.1925925925925926,0.17058823529411765,0.546,0.32,0.159,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,45,contract,max_f1,max_f1,0.705,0.3157894736842105,0.6,0.265625,0.5666666666666667,0.36170212765957444,0.46195652173913043,0.2840140341822459,0.7197802197802198,17,135,47,13,212,30,182,0.23809523809523808,0.18181818181818182,0.1746987951807229,0.622,0.374,0.203,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,45,contract,high_recall,target_recall,0.203,0.1534090909090909,0.9,0.1746987951807229,0.9666666666666667,0.29591836734693877,0.506993006993007,0.2840140341822459,0.7197802197802198,29,45,137,1,212,30,182,0.23809523809523808,0.18181818181818182,0.1746987951807229,0.622,0.374,0.203,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,45,contract,precision_focused,target_precision,0.923,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.2840140341822459,0.7197802197802198,0,182,0,30,212,30,182,0.23809523809523808,0.18181818181818182,0.1746987951807229,0.622,0.374,0.203,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,46,contract,max_f1,max_f1,0.708,0.3,0.6,0.2698412698412698,0.5666666666666667,0.3655913978494623,0.46448087431693985,0.3460201918827393,0.7254578754578754,17,136,46,13,212,30,182,0.24390243902439024,0.20512820512820512,0.17575757575757575,0.631,0.49,0.233,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,46,contract,high_recall,target_recall,0.233,0.15428571428571428,0.9,0.17575757575757575,0.9666666666666667,0.29743589743589743,0.5087719298245614,0.3460201918827393,0.7254578754578754,29,46,136,1,212,30,182,0.24390243902439024,0.20512820512820512,0.17575757575757575,0.631,0.49,0.233,0.7,0.8333333333333334,0.9
all_scope,gated,mil_topk,46,contract,precision_focused,target_precision,0.913,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.3460201918827393,0.7254578754578754,0,182,0,30,212,30,182,0.24390243902439024,0.20512820512820512,0.17575757575757575,0.631,0.49,0.233,0.7,0.8333333333333334,0.9
all_scope,rule_suppression,mil_topk,42,contract,max_f1,max_f1,0.586,0.2692307692307692,0.7,0.24705882352941178,0.7,0.3652173913043478,0.5121951219512195,0.27361175248384895,0.7241758241758242,21,118,64,9,212,30,182,0.24705882352941178,0.2037037037037037,0.1686046511627907,0.586,0.457,0.145,0.7,0.8,0.9
all_scope,rule_suppression,mil_topk,42,contract,high_recall,target_recall,0.145,0.14917127071823205,0.9,0.1686046511627907,0.9666666666666667,0.28712871287128716,0.4965753424657534,0.27361175248384895,0.7241758241758242,29,39,143,1,212,30,182,0.24705882352941178,0.2037037037037037,0.1686046511627907,0.586,0.457,0.145,0.7,0.8,0.9
all_scope,rule_suppression,mil_topk,42,contract,precision_focused,target_precision,0.9420000000000001,1.0,0.06666666666666667,0.25,0.03333333333333333,0.058823529411764705,0.04032258064516128,0.27361175248384895,0.7241758241758242,1,179,3,29,212,30,182,0.24705882352941178,0.2037037037037037,0.1686046511627907,0.586,0.457,0.145,0.7,0.8,0.9
all_scope,rule_suppression,mil_topk,43,contract,max_f1,max_f1,0.686,0.26436781609195403,0.7666666666666667,0.2631578947368421,0.6666666666666666,0.3773584905660377,0.510204081632653,0.3207433763326087,0.7373626373626373,20,126,56,10,212,30,182,0.2898550724637681,0.22826086956521738,0.17647058823529413,0.707,0.623,0.266,0.7,0.8,0.9
all_scope,rule_suppression,mil_topk,43,contract,high_recall,target_recall,0.266,0.15083798882681565,0.9,0.17647058823529413,1.0,0.3,0.5172413793103449,0.3207433763326087,0.7373626373626373,30,42,140,0,212,30,182,0.2898550724637681,0.22826086956521738,0.17647058823529413,0.707,0.623,0.266,0.7,0.8,0.9
all_scope,rule_suppression,mil_topk,43,contract,precision_focused,target_precision,0.922,0.75,0.1,0.42857142857142855,0.1,0.16216216216216217,0.11811023622047245,0.3207433763326087,0.7373626373626373,3,178,4,27,212,30,182,0.2898550724637681,0.22826086956521738,0.17647058823529413,0.707,0.623,0.266,0.7,0.8,0.9
all_scope,rule_suppression,mil_topk,44,contract,max_f1,max_f1,0.622,0.26436781609195403,0.7666666666666667,0.273972602739726,0.6666666666666666,0.3883495145631068,0.5181347150259068,0.3314888707321722,0.7309523809523809,20,129,53,10,212,30,182,0.2608695652173913,0.21212121212121213,0.1830065359477124,0.636,0.491,0.259,0.7333333333333333,0.8,0.9
all_scope,rule_suppression,mil_topk,44,contract,high_recall,target_recall,0.259,0.1656441717791411,0.9,0.1830065359477124,0.9333333333333333,0.3060109289617486,0.5128205128205129,0.3314888707321722,0.7309523809523809,28,57,125,2,212,30,182,0.2608695652173913,0.21212121212121213,0.1830065359477124,0.636,0.491,0.259,0.7333333333333333,0.8,0.9
all_scope,rule_suppression,mil_topk,44,contract,precision_focused,target_precision,0.9,0.75,0.1,0.5714285714285714,0.13333333333333333,0.21621621621621623,0.1574803149606299,0.3314888707321722,0.7309523809523809,4,179,3,26,212,30,182,0.2608695652173913,0.21212121212121213,0.1830065359477124,0.636,0.491,0.259,0.7333333333333333,0.8,0.9
all_scope,rule_suppression,mil_topk,45,contract,max_f1,max_f1,0.7030000000000001,0.2619047619047619,0.7333333333333333,0.2702702702702703,0.6666666666666666,0.3846153846153846,0.5154639175257731,0.31613038308278635,0.7311355311355311,20,128,54,10,212,30,182,0.2702702702702703,0.21212121212121213,0.17575757575757575,0.7030000000000001,0.594,0.243,0.7333333333333333,0.8,0.9
all_scope,rule_suppression,mil_topk,45,contract,high_recall,target_recall,0.243,0.15254237288135594,0.9,0.17575757575757575,0.9666666666666667,0.29743589743589743,0.5087719298245614,0.31613038308278635,0.7311355311355311,29,46,136,1,212,30,182,0.2702702702702703,0.21212121212121213,0.17575757575757575,0.7030000000000001,0.594,0.243,0.7333333333333333,0.8,0.9
all_scope,rule_suppression,mil_topk,45,contract,precision_focused,target_precision,0.9380000000000001,1.0,0.1,0.4,0.06666666666666667,0.1142857142857143,0.08,0.31613038308278635,0.7311355311355311,2,179,3,28,212,30,182,0.2702702702702703,0.21212121212121213,0.17575757575757575,0.7030000000000001,0.594,0.243,0.7333333333333333,0.8,0.9
all_scope,rule_suppression,mil_topk,46,contract,max_f1,max_f1,0.59,0.25,0.7333333333333333,0.2571428571428571,0.6,0.36,0.47368421052631576,0.3153960607053828,0.730952380952381,18,130,52,12,212,30,182,0.2608695652173913,0.23809523809523808,0.175,0.594,0.546,0.241,0.7,0.8,0.9
all_scope,rule_suppression,mil_topk,46,contract,high_recall,target_recall,0.241,0.1588235294117647,0.9,0.175,0.9333333333333333,0.29473684210526313,0.5,0.3153960607053828,0.730952380952381,28,50,132,2,212,30,182,0.2608695652173913,0.23809523809523808,0.175,0.594,0.546,0.241,0.7,0.8,0.9
all_scope,rule_suppression,mil_topk,46,contract,precision_focused,target_precision,0.927,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.3153960607053828,0.730952380952381,0,181,1,30,212,30,182,0.2608695652173913,0.23809523809523808,0.175,0.594,0.546,0.241,0.7,0.8,0.9
all_scope,concat,mil_topk,42,contract,max_f1,max_f1,0.776,0.30612244897959184,0.5,0.3125,0.3333333333333333,0.3225806451612903,0.3289473684210526,0.43824786295772233,0.7626373626373626,10,160,22,20,212,30,182,0.2571428571428571,0.25,0.20930232558139536,0.675,0.601,0.428,0.7,0.8,0.9
all_scope,concat,mil_topk,42,contract,high_recall,target_recall,0.428,0.17532467532467533,0.9,0.20930232558139536,0.9,0.339622641509434,0.5421686746987953,0.43824786295772233,0.7626373626373626,27,80,102,3,212,30,182,0.2571428571428571,0.25,0.20930232558139536,0.675,0.601,0.428,0.7,0.8,0.9
all_scope,concat,mil_topk,42,contract,precision_focused,target_precision,0.888,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.43824786295772233,0.7626373626373626,0,182,0,30,212,30,182,0.2571428571428571,0.25,0.20930232558139536,0.675,0.601,0.428,0.7,0.8,0.9
