run,variant,safety_mechanism,safety_auxiliary_loss,precision_mean,recall_mean,f1_mean,pr_auc_mean,mean_val_protected_fp_reduction_vs_concat
all_scope,concat,concat,on,0.2925728991141449,0.45999999999999996,0.3556335532392562,0.3795666838161417,0.0
all_scope,gated,gated,on,0.29197234950050344,0.5,0.36749475656942,0.3431896542641909,-2.2
all_scope,rule_suppression,rule_suppression,on,0.29366662235805024,0.5533333333333332,0.365398523439213,0.2894622234100595,-3.0
all_scope,subtractive,subtractive,on,0.2661467978026209,0.5733333333333333,0.3625808181212872,0.32117768650126494,-6.6
reentrancy_only,concat,concat,on,0.33404174049860436,0.4375,0.2869081862036712,0.31905842080936064,0.0
reentrancy_only,gated,gated,on,0.3981546231546232,0.2375,0.2950983397190293,0.24618082122278534,39.0
reentrancy_only,rule_suppression,rule_suppression,on,0.30287767846622565,0.3125,0.2652762153162242,0.21937473903124496,28.4
reentrancy_only,subtractive,subtractive,on,0.2969187675070028,0.2875,0.2917888563049853,0.290849469052223,38.0
