scope,method,variant,seed,evaluation,precision,recall,f1,f2,pr_auc,roc_auc,notes
all_scope,Function-MLP,clean_phase0d,42,validation_threshold,0.20588235294117646,0.4666666666666667,0.28571428571428564,0.3723404255319149,0.20886745970633794,0.683058608058608,clean_split_baseline
all_scope,Function-MLP,clean_phase0d,43,validation_threshold,0.23333333333333334,0.7,0.35,0.5,0.24187976829540556,0.717948717948718,clean_split_baseline
all_scope,Function-MLP,clean_phase0d,44,validation_threshold,0.22058823529411764,0.5,0.30612244897959184,0.398936170212766,0.2322500704679974,0.7124542124542125,clean_split_baseline
all_scope,Function-MLP,clean_phase0d,45,validation_threshold,0.23529411764705882,0.5333333333333333,0.326530612244898,0.42553191489361697,0.22973262371596778,0.7036630036630036,clean_split_baseline
all_scope,Function-MLP,clean_phase0d,46,validation_threshold,0.2318840579710145,0.5333333333333333,0.3232323232323232,0.42328042328042326,0.23194463977959517,0.7073260073260074,clean_split_baseline
all_scope,Function+Features MLP,clean_phase0d,42,validation_threshold,0.2159090909090909,0.6333333333333333,0.3220338983050848,0.4567307692307692,0.20804202241748346,0.680952380952381,clean_split_baseline
all_scope,Function+Features MLP,clean_phase0d,43,validation_threshold,0.25675675675675674,0.6333333333333333,0.3653846153846153,0.4896907216494845,0.2526842591874968,0.721062271062271,clean_split_baseline
all_scope,Function+Features MLP,clean_phase0d,44,validation_threshold,0.22988505747126436,0.6666666666666666,0.34188034188034183,0.48309178743961345,0.2251299866785829,0.698076923076923,clean_split_baseline
all_scope,Function+Features MLP,clean_phase0d,45,validation_threshold,0.20952380952380953,0.7333333333333333,0.32592592592592595,0.4888888888888889,0.21312144820526216,0.6913919413919415,clean_split_baseline
all_scope,Function+Features MLP,clean_phase0d,46,validation_threshold,0.21505376344086022,0.6666666666666666,0.3252032520325203,0.4694835680751173,0.21549490753643236,0.6882783882783883,clean_split_baseline
all_scope,Sequence-BiGRU,clean_phase0d,42,validation_threshold,0.208955223880597,0.4666666666666667,0.28865979381443296,0.37433155080213903,0.23516030087366396,0.6847985347985348,clean_split_baseline
all_scope,Sequence-BiGRU,clean_phase0d,43,validation_threshold,0.2631578947368421,0.3333333333333333,0.29411764705882354,0.3164556962025316,0.25283329784954334,0.6787545787545787,clean_split_baseline
all_scope,Sequence-BiGRU,clean_phase0d,44,validation_threshold,0.275,0.36666666666666664,0.3142857142857143,0.34374999999999994,0.33328829002318605,0.7047619047619048,clean_split_baseline
all_scope,Sequence-BiGRU,clean_phase0d,45,validation_threshold,0.21978021978021978,0.6666666666666666,0.33057851239669417,0.4739336492890996,0.27904776929373554,0.6937728937728938,clean_split_baseline
all_scope,Sequence-BiGRU,clean_phase0d,46,validation_threshold,0.27906976744186046,0.4,0.32876712328767127,0.36809815950920244,0.26660472339935504,0.6811355311355312,clean_split_baseline
all_scope,CallGraph-GAT,clean_phase0d,42,validation_threshold,0.21212121212121213,0.4666666666666667,0.29166666666666663,0.3763440860215053,0.25284259655842856,0.6817765567765568,clean_split_baseline
all_scope,CallGraph-GAT,clean_phase0d,43,validation_threshold,0.23595505617977527,0.7,0.3529411764705882,0.5023923444976076,0.24613820700271585,0.6933150183150183,clean_split_baseline
all_scope,CallGraph-GAT,clean_phase0d,44,validation_threshold,0.1926605504587156,0.7,0.30215827338129503,0.4585152838427947,0.23012165899674278,0.6687728937728937,clean_split_baseline
all_scope,CallGraph-GAT,clean_phase0d,45,validation_threshold,0.2236842105263158,0.5666666666666667,0.32075471698113206,0.43367346938775514,0.20518463964005285,0.6688644688644688,clean_split_baseline
