run,strategy,pooling,seed,level,threshold_policy,selection_policy,threshold,validation_precision_at_threshold,validation_recall_at_threshold,precision,recall,f1,f2,pr_auc,roc_auc,tp,tn,fp,fn,support,positive_support,negative_support,test_precision_at_val_recall_70,test_precision_at_val_recall_80,test_precision_at_val_recall_90,val_threshold_for_recall_70,val_threshold_for_recall_80,val_threshold_for_recall_90,val_recall_at_threshold_70,val_recall_at_threshold_80,val_recall_at_threshold_90
all_scope,baseline,mil_topk,42,interaction,max_f1,max_f1,0.835,0.18181818181818182,0.3137254901960784,0.14473684210526316,0.275,0.18965517241379312,0.23305084745762714,0.10479652572125059,0.7958050847457627,11,1115,65,29,1220,40,1180,0.08358208955223881,0.07476635514018691,0.05256064690026954,0.596,0.511,0.257,0.7647058823529411,0.803921568627451,0.9215686274509803
all_scope,baseline,mil_topk,42,interaction,high_recall,target_recall,0.257,0.04616895874263261,0.9215686274509803,0.05256064690026954,0.975,0.09974424552429667,0.2161862527716186,0.10479652572125059,0.7958050847457627,39,477,703,1,1220,40,1180,0.08358208955223881,0.07476635514018691,0.05256064690026954,0.596,0.511,0.257,0.7647058823529411,0.803921568627451,0.9215686274509803
all_scope,baseline,mil_topk,42,interaction,precision_focused,target_precision,0.72,0.10416666666666667,0.5882352941176471,0.10270270270270271,0.475,0.16888888888888892,0.27536231884057977,0.10479652572125059,0.7958050847457627,19,1014,166,21,1220,40,1180,0.08358208955223881,0.07476635514018691,0.05256064690026954,0.596,0.511,0.257,0.7647058823529411,0.803921568627451,0.9215686274509803
all_scope,hard_negative_upweight,mil_topk,42,interaction,max_f1,max_f1,0.648,0.1839080459770115,0.3137254901960784,0.10843373493975904,0.225,0.14634146341463414,0.18518518518518515,0.10441841722426039,0.8060381355932205,9,1106,74,31,1220,40,1180,0.08454810495626822,0.07102803738317758,0.05006418485237484,0.497,0.393,0.218,0.7058823529411765,0.8235294117647058,0.9019607843137255
all_scope,hard_negative_upweight,mil_topk,42,interaction,high_recall,target_recall,0.218,0.04431599229287091,0.9019607843137255,0.05006418485237484,0.975,0.09523809523809525,0.20766773162939298,0.10441841722426039,0.8060381355932205,39,440,740,1,1220,40,1180,0.08454810495626822,0.07102803738317758,0.05006418485237484,0.497,0.393,0.218,0.7058823529411765,0.8235294117647058,0.9019607843137255
all_scope,hard_negative_upweight,mil_topk,42,interaction,precision_focused,target_precision,0.529,0.10542168674698796,0.6862745098039216,0.0946969696969697,0.625,0.16447368421052633,0.294811320754717,0.10441841722426039,0.8060381355932205,25,941,239,15,1220,40,1180,0.08454810495626822,0.07102803738317758,0.05006418485237484,0.497,0.393,0.218,0.7058823529411765,0.8235294117647058,0.9019607843137255
all_scope,hard_negative_oversample,mil_topk,42,interaction,max_f1,max_f1,0.6970000000000001,0.1393939393939394,0.45098039215686275,0.11940298507462686,0.4,0.1839080459770115,0.272108843537415,0.10997346249804925,0.8144915254237288,16,1062,118,24,1220,40,1180,0.09848484848484848,0.0787037037037037,0.056439942112879886,0.596,0.484,0.327,0.7254901960784313,0.803921568627451,0.9215686274509803
all_scope,hard_negative_oversample,mil_topk,42,interaction,high_recall,target_recall,0.327,0.04880581516095535,0.9215686274509803,0.056439942112879886,0.975,0.106703146374829,0.2291421856639248,0.10997346249804925,0.8144915254237288,39,528,652,1,1220,40,1180,0.09848484848484848,0.0787037037037037,0.056439942112879886,0.596,0.484,0.327,0.7254901960784313,0.803921568627451,0.9215686274509803
all_scope,hard_negative_oversample,mil_topk,42,interaction,precision_focused,target_precision,0.596,0.09919571045576407,0.7254901960784313,0.09848484848484848,0.65,0.17105263157894735,0.30660377358490565,0.10997346249804925,0.8144915254237288,26,942,238,14,1220,40,1180,0.09848484848484848,0.0787037037037037,0.056439942112879886,0.596,0.484,0.327,0.7254901960784313,0.803921568627451,0.9215686274509803
all_scope,baseline,mil_topk,43,interaction,max_f1,max_f1,0.978,0.375,0.23529411764705882,0.07692307692307693,0.025,0.03773584905660378,0.028901734104046242,0.10945901693598481,0.7922881355932203,1,1168,12,39,1220,40,1180,0.07588075880758807,0.05829596412556054,0.04472477064220184,0.728,0.37,0.17,0.7058823529411765,0.8235294117647058,0.9215686274509803
all_scope,baseline,mil_topk,43,interaction,high_recall,target_recall,0.17,0.04,0.9215686274509803,0.04472477064220184,0.975,0.08552631578947369,0.18895348837209303,0.10945901693598481,0.7922881355932203,39,347,833,1,1220,40,1180,0.07588075880758807,0.05829596412556054,0.04472477064220184,0.728,0.37,0.17,0.7058823529411765,0.8235294117647058,0.9215686274509803
all_scope,baseline,mil_topk,43,interaction,precision_focused,target_precision,0.891,0.11848341232227488,0.49019607843137253,0.12804878048780488,0.525,0.2058823529411765,0.3240740740740741,0.10945901693598481,0.7922881355932203,21,1037,143,19,1220,40,1180,0.07588075880758807,0.05829596412556054,0.04472477064220184,0.728,0.37,0.17,0.7058823529411765,0.8235294117647058,0.9215686274509803
